Category,Price,Rating,Discount,Stock,In_Stock
FOOD,700.78,3.96,3.19,In Stock,1
ELECTRONICS,8879.39,4.23,15.36,In Stock,1
FURNITURE,4367.59,3.25,12.51,Out of Stock,0
FURNITURE,9928.24,3.26,6.88,Out of Stock,0
FURNITURE,9344.49,1.12,9.58,Out of Stock,0
FOOD,111.09,3.87,8.78,In Stock,1
FOOD,459.07,3.27,20.75,In Stock,1
CLOTHING,2487.53,3.46,9.69,In Stock,1
FURNITURE,4746.19,4.07,7.92,Out of Stock,0
FURNITURE,8607.13,1.37,9.74,Out of Stock,0
ELECTRONICS,9340.0,4.31,12.52,Out of Stock,0
ELECTRONICS,5376.39,1.45,0.99,Out of Stock,0
CLOTHING,1143.7,2.41,16.7,In Stock,1
FURNITURE,7620.7,4.3,9.16,Out of Stock,0
FURNITURE,13019.69,3.49,1.69,Out of Stock,0
ELECTRONICS,8679.6,2.1,12.78,In Stock,1
FOOD,305.72,5.0,7.91,In Stock,1
CLOTHING,1197.83,4.79,6.11,In Stock,1
FURNITURE,11360.27,3.54,12.55,Out of Stock,0
FURNITURE,14693.27,4.41,0.98,Out of Stock,0
FURNITURE,12862.07,3.26,9.71,Out of Stock,0
CLOTHING,820.87,3.95,49.21,In Stock,1
CLOTHING,2779.55,3.32,6.8,In Stock,1
CLOTHING,1405.73,4.48,36.57,In Stock,1
ELECTRONICS,7296.72,1.22,8.54,In Stock,1
FURNITURE,8628.3,4.25,9.62,Out of Stock,0
FURNITURE,6739.83,2.84,0.99,Out of Stock,0
FURNITURE,14670.82,2.26,7.17,Out of Stock,0
FURNITURE,7263.41,3.39,9.93,Out of Stock,0
FOOD,586.49,3.54,9.47,In Stock,1
FURNITURE,4503.01,2.75,0.6,Out of Stock,0
FURNITURE,10172.19,4.04,13.36,Out of Stock,0
FURNITURE,8388.45,2.61,1.15,Out of Stock,0
ELECTRONICS,8353.83,4.29,4.89,Out of Stock,0
CLOTHING,1553.25,4.52,44.47,In Stock,1
ELECTRONICS,6215.9,3.2,3.85,Out of Stock,0
FURNITURE,4222.55,4.19,12.31,In Stock,1
FOOD,620.03,3.1,25.31,In Stock,1
ELECTRONICS,7190.22,2.37,10.93,Out of Stock,0
FOOD,118.51,4.51,17.47,In Stock,1
FOOD,189.94,3.38,5.53,In Stock,1
ELECTRONICS,642.51,3.76,42.82,In Stock,1
ELECTRONICS,5087.49,1.2,11.46,Out of Stock,0
FOOD,419.74,3.65,10.49,In Stock,1
FOOD,497.26,3.55,0.8,In Stock,1
FURNITURE,11822.74,3.19,8.71,In Stock,1
FOOD,606.26,4.35,6.18,In Stock,1
FURNITURE,7229.77,1.44,1.95,Out of Stock,0
FOOD,557.15,3.96,28.88,In Stock,1
FOOD,521.26,3.96,3.17,Out of Stock,0
FURNITURE,12754.21,3.03,9.27,Out of Stock,0
CLOTHING,2453.66,4.11,42.55,In Stock,1
ELECTRONICS,7251.75,3.99,17.02,Out of Stock,0
ELECTRONICS,6430.68,3.56,6.28,Out of Stock,0
FURNITURE,14495.65,1.12,8.7,Out of Stock,0
FOOD,174.88,4.42,5.28,In Stock,1
FOOD,226.54,3.99,27.45,In Stock,1
ELECTRONICS,6058.57,1.58,15.18,Out of Stock,0
ELECTRONICS,7503.1,4.65,2.93,Out of Stock,0
ELECTRONICS,8229.64,1.93,3.14,Out of Stock,0
ELECTRONICS,2208.57,3.78,38.97,In Stock,1
FOOD,282.1,3.9,12.16,In Stock,1
ELECTRONICS,2960.22,2.88,18.27,In Stock,1
CLOTHING,1386.37,3.69,16.35,In Stock,1
FURNITURE,13983.48,1.93,13.44,Out of Stock,0
CLOTHING,758.69,3.97,45.81,In Stock,1
FOOD,176.56,4.94,13.59,In Stock,1
FURNITURE,14348.58,3.37,4.52,Out of Stock,0
CLOTHING,970.76,2.91,9.19,Out of Stock,0
FOOD,157.9,3.21,12.69,In Stock,1
FURNITURE,12546.94,1.49,1.95,Out of Stock,0
FURNITURE,10721.15,1.69,1.46,Out of Stock,0
ELECTRONICS,5834.24,4.69,16.43,In Stock,1
FURNITURE,7248.77,3.3,8.06,Out of Stock,0
CLOTHING,2192.81,4.05,33.29,In Stock,1
CLOTHING,1165.25,2.12,25.5,In Stock,1
CLOTHING,2727.43,3.71,42.46,In Stock,1
FURNITURE,14899.49,1.57,10.38,Out of Stock,0
ELECTRONICS,2185.73,4.94,49.35,In Stock,1
CLOTHING,2216.7,2.73,40.94,In Stock,1
FOOD,130.27,4.56,27.31,In Stock,1
ELECTRONICS,6914.17,3.52,8.6,Out of Stock,0
ELECTRONICS,7188.83,2.24,15.24,In Stock,1
ELECTRONICS,9680.88,4.76,3.5,In Stock,1
ELECTRONICS,9373.72,3.95,5.06,In Stock,1
ELECTRONICS,5336.42,2.07,18.24,In Stock,1
ELECTRONICS,8165.89,3.88,5.14,Out of Stock,0
FOOD,589.54,3.06,11.26,In Stock,1
ELECTRONICS,8133.77,1.58,16.46,Out of Stock,0
CLOTHING,1087.58,3.96,23.23,In Stock,1
FURNITURE,10152.52,1.38,0.25,Out of Stock,0
CLOTHING,2773.91,2.81,41.89,In Stock,1
FOOD,799.51,3.42,7.96,In Stock,1
ELECTRONICS,8314.3,4.86,18.32,Out of Stock,0
ELECTRONICS,7514.38,4.18,2.71,Out of Stock,0
ELECTRONICS,9887.19,4.86,3.27,Out of Stock,0
ELECTRONICS,6497.12,1.4,5.43,Out of Stock,0
CLOTHING,2539.89,3.13,8.98,In Stock,1
ELECTRONICS,6711.13,4.93,12.59,Out of Stock,0
ELECTRONICS,7080.8,1.67,19.72,Out of Stock,0
ELECTRONICS,7251.75,2.13,1.4,Out of Stock,0
CLOTHING,641.56,2.36,31.13,In Stock,1
ELECTRONICS,9643.82,2.99,16.86,Out of Stock,0
CLOTHING,1614.72,3.46,37.93,Out of Stock,0
FOOD,180.47,3.72,19.12,In Stock,1
ELECTRONICS,103.02,3.72,16.04,In Stock,1
ELECTRONICS,9981.12,2.9,16.32,Out of Stock,0
ELECTRONICS,8184.81,3.79,8.93,Out of Stock,0
FOOD,714.95,3.96,18.13,In Stock,1
ELECTRONICS,8150.09,2.67,2.89,In Stock,1
FURNITURE,4122.71,1.06,13.1,Out of Stock,0
FURNITURE,5837.7,1.74,11.04,Out of Stock,0
ELECTRONICS,6600.08,3.02,3.25,In Stock,1
CLOTHING,2899.36,4.55,43.87,In Stock,1
FURNITURE,7881.28,3.67,2.16,In Stock,1
FOOD,56.46,3.04,17.6,In Stock,1
ELECTRONICS,7276.97,3.07,0.15,Out of Stock,0
ELECTRONICS,7113.43,3.87,8.85,Out of Stock,0
CLOTHING,2330.55,2.7,41.59,In Stock,1
CLOTHING,1971.08,2.63,15.65,Out of Stock,0
FOOD,521.02,4.66,12.47,In Stock,1
CLOTHING,1145.75,3.46,35.12,In Stock,1
CLOTHING,1620.21,3.46,14.19,In Stock,1
FOOD,520.1,3.72,29.87,In Stock,1
ELECTRONICS,7400.92,2.94,11.32,Out of Stock,0
CLOTHING,2791.89,4.4,25.3,In Stock,1
FOOD,589.02,4.17,14.77,In Stock,1
FURNITURE,5307.79,2.62,3.69,Out of Stock,0
FOOD,736.13,3.67,28.57,In Stock,1
FOOD,449.79,4.26,16.29,In Stock,1
ELECTRONICS,5646.9,2.5,1.98,Out of Stock,0
CLOTHING,2057.39,3.34,40.01,In Stock,1
FOOD,215.35,3.33,12.19,In Stock,1
ELECTRONICS,9632.93,3.84,8.38,In Stock,1
CLOTHING,1793.18,2.25,49.31,In Stock,1
CLOTHING,2166.02,2.86,31.36,In Stock,1
ELECTRONICS,5547.41,3.03,3.5,Out of Stock,0
CLOTHING,2120.08,2.74,37.29,In Stock,1
ELECTRONICS,8884.11,3.69,12.29,Out of Stock,0
CLOTHING,2731.17,2.24,19.89,In Stock,1
ELECTRONICS,6241.44,4.95,7.79,In Stock,1
FURNITURE,11791.35,3.4,3.18,Out of Stock,0
FOOD,229.25,3.56,12.33,In Stock,1
FOOD,225.74,3.04,26.38,In Stock,1
FURNITURE,14587.32,2.2,5.08,Out of Stock,0
CLOTHING,517.73,4.04,42.14,In Stock,1
ELECTRONICS,5733.04,1.64,15.8,In Stock,1
FOOD,512.22,3.09,18.68,In Stock,1
FOOD,281.69,3.74,23.09,In Stock,1
FOOD,658.2,3.8,28.41,In Stock,1
CLOTHING,1516.16,3.46,26.77,In Stock,1
ELECTRONICS,9487.66,4.63,1.75,Out of Stock,0
CLOTHING,2841.23,4.48,40.61,In Stock,1
CLOTHING,1002.28,3.46,43.26,In Stock,1
FOOD,266.86,4.9,1.5,In Stock,1
FOOD,162.43,4.08,17.27,In Stock,1
CLOTHING,2112.88,2.05,48.22,In Stock,1
FURNITURE,3535.06,1.5,0.21,Out of Stock,0
FOOD,475.14,3.96,12.23,In Stock,1
ELECTRONICS,9113.29,1.05,10.84,Out of Stock,0
ELECTRONICS,7297.81,3.0,1.44,Out of Stock,0
ELECTRONICS,8422.18,3.01,15.3,In Stock,1
ELECTRONICS,7426.45,1.6,12.97,Out of Stock,0
ELECTRONICS,5861.93,4.49,12.26,Out of Stock,0
ELECTRONICS,5786.02,4.85,10.37,Out of Stock,0
CLOTHING,1787.38,3.88,16.39,In Stock,1
ELECTRONICS,9018.47,4.27,19.58,In Stock,1
FURNITURE,9022.43,2.59,11.3,Out of Stock,0
ELECTRONICS,5662.35,3.19,10.92,Out of Stock,0
FOOD,117.1,3.96,25.6,In Stock,1
CLOTHING,2640.38,2.3,9.08,In Stock,1
FURNITURE,6152.35,4.06,1.93,Out of Stock,0
ELECTRONICS,8599.98,1.4,12.46,Out of Stock,0
CLOTHING,1787.38,4.37,15.52,In Stock,1
FURNITURE,10670.42,2.75,10.7,In Stock,1
FURNITURE,13484.14,1.44,13.0,Out of Stock,0
FURNITURE,10122.9,1.44,6.41,Out of Stock,0
CLOTHING,902.15,4.1,12.23,In Stock,1
ELECTRONICS,5528.98,3.02,16.29,In Stock,1
FOOD,752.12,4.03,28.51,In Stock,1
FURNITURE,9428.27,2.38,12.72,Out of Stock,0
FOOD,419.74,3.94,12.23,In Stock,1
FOOD,685.09,4.66,12.11,In Stock,1
CLOTHING,1333.25,3.48,30.77,In Stock,1
FURNITURE,5860.05,3.78,7.3,Out of Stock,0
ELECTRONICS,6670.23,1.43,4.78,Out of Stock,0
CLOTHING,2873.2,2.92,12.6,In Stock,1
CLOTHING,1651.68,2.92,6.58,In Stock,1
FOOD,292.36,4.09,16.55,In Stock,1
ELECTRONICS,6782.79,2.79,19.31,In Stock,1
ELECTRONICS,6886.74,2.03,4.87,Out of Stock,0
FOOD,393.32,4.52,6.18,In Stock,1
CLOTHING,2273.24,2.06,12.23,In Stock,1
FOOD,419.74,3.68,16.91,In Stock,1
ELECTRONICS,6024.9,3.97,1.05,Out of Stock,0
CLOTHING,2631.36,2.59,44.35,In Stock,1
FOOD,314.4,4.45,9.58,In Stock,1
ELECTRONICS,9529.56,1.51,3.57,In Stock,1
CLOTHING,1732.58,2.25,13.82,In Stock,1
ELECTRONICS,9718.83,4.91,7.53,Out of Stock,0
ELECTRONICS,9616.43,3.18,5.39,Out of Stock,0
FURNITURE,11428.78,2.75,14.84,In Stock,1
CLOTHING,1162.62,4.02,7.34,In Stock,1
FURNITURE,4363.75,2.75,14.99,Out of Stock,0
CLOTHING,2505.68,4.36,27.94,In Stock,1
FOOD,275.05,3.3,8.54,In Stock,1
FURNITURE,7511.65,3.65,8.09,Out of Stock,0
FOOD,108.11,3.04,3.07,In Stock,1
CLOTHING,1526.25,4.8,33.68,In Stock,1
CLOTHING,2504.56,3.4,21.27,In Stock,1
CLOTHING,771.0,4.63,40.24,In Stock,1
FURNITURE,5017.42,2.75,7.31,Out of Stock,0
FURNITURE,10501.1,4.31,8.7,In Stock,1
FURNITURE,9482.61,2.75,0.94,Out of Stock,0
ELECTRONICS,5936.73,1.13,14.87,Out of Stock,0
FOOD,592.5,3.27,25.08,In Stock,1
FURNITURE,4857.43,2.05,3.73,Out of Stock,0
ELECTRONICS,6861.54,2.02,9.78,Out of Stock,0
ELECTRONICS,7037.04,4.95,1.12,Out of Stock,0
FOOD,156.64,3.11,18.78,In Stock,1
FOOD,90.88,4.67,15.36,In Stock,1
FURNITURE,9324.09,2.97,2.56,Out of Stock,0
ELECTRONICS,5988.45,2.28,11.87,In Stock,1
FURNITURE,5521.41,1.41,14.55,In Stock,1
ELECTRONICS,5109.91,4.21,15.76,Out of Stock,0
ELECTRONICS,6486.07,1.54,2.91,Out of Stock,0
ELECTRONICS,8487.16,3.57,15.65,Out of Stock,0
FURNITURE,14249.77,3.42,2.34,In Stock,1
FOOD,232.58,4.68,6.28,In Stock,1
FOOD,104.39,4.41,12.08,In Stock,1
CLOTHING,2800.1,3.46,9.07,In Stock,1
FURNITURE,14374.28,1.9,5.06,Out of Stock,0
CLOTHING,1505.65,2.15,27.34,In Stock,1
FURNITURE,4479.82,2.4,5.26,Out of Stock,0
CLOTHING,2432.1,4.41,11.9,In Stock,1
CLOTHING,1416.38,3.12,11.81,In Stock,1
CLOTHING,1787.38,4.12,13.57,In Stock,1
CLOTHING,1416.8,2.32,33.27,Out of Stock,0
FOOD,141.03,4.97,23.42,In Stock,1
FOOD,342.68,4.16,27.34,In Stock,1
ELECTRONICS,7770.5,1.7,7.57,Out of Stock,0
FURNITURE,13117.74,3.25,9.76,Out of Stock,0
CLOTHING,2667.05,4.68,46.39,In Stock,1
FOOD,121.14,3.96,22.22,In Stock,1
FURNITURE,12083.12,3.12,2.5,Out of Stock,0
FOOD,648.07,4.44,2.58,In Stock,1
ELECTRONICS,7319.05,3.03,6.75,Out of Stock,0
FURNITURE,3216.97,2.4,8.25,Out of Stock,0
FOOD,514.69,4.33,25.09,In Stock,1
CLOTHING,1038.66,2.36,43.32,In Stock,1
ELECTRONICS,5783.06,4.9,16.85,In Stock,1
FURNITURE,9010.52,4.43,1.46,Out of Stock,0
FOOD,277.3,4.28,10.5,In Stock,1
FOOD,746.28,3.13,16.48,In Stock,1
FURNITURE,10090.4,3.28,3.83,Out of Stock,0
ELECTRONICS,7374.8,3.95,2.92,Out of Stock,0
ELECTRONICS,9134.34,3.25,15.24,In Stock,1
CLOTHING,1787.38,2.62,30.6,Out of Stock,0
ELECTRONICS,9338.62,2.73,19.33,In Stock,1
FOOD,389.16,3.29,11.68,In Stock,1
ELECTRONICS,9758.51,2.28,17.36,Out of Stock,0
FOOD,710.94,3.7,2.5,In Stock,1
FURNITURE,11694.69,2.09,11.74,Out of Stock,0
FURNITURE,8311.86,2.75,11.67,Out of Stock,0
CLOTHING,1455.91,3.33,21.93,In Stock,1
FURNITURE,7408.09,2.75,12.13,Out of Stock,0
ELECTRONICS,6808.84,3.1,13.41,Out of Stock,0
FURNITURE,6233.27,1.97,14.0,Out of Stock,0
ELECTRONICS,8617.67,3.31,12.95,Out of Stock,0
CLOTHING,573.25,3.85,27.93,In Stock,1
FURNITURE,9549.0,2.26,1.22,Out of Stock,0
ELECTRONICS,5966.7,4.8,8.17,In Stock,1
ELECTRONICS,7333.42,1.21,0.75,Out of Stock,0
FOOD,587.89,4.08,15.26,In Stock,1
FOOD,232.34,4.49,5.05,In Stock,1
FOOD,192.45,3.92,8.59,In Stock,1
FOOD,235.6,4.29,19.53,In Stock,1
ELECTRONICS,668.39,3.84,2.19,In Stock,1
CLOTHING,1184.17,4.94,31.83,In Stock,1
CLOTHING,2274.34,2.02,28.32,In Stock,1
ELECTRONICS,5187.64,3.28,18.42,In Stock,1
FURNITURE,14621.03,2.89,6.87,Out of Stock,0
FOOD,758.76,4.35,1.95,In Stock,1
CLOTHING,1664.31,2.72,26.14,In Stock,1
ELECTRONICS,1638.66,3.75,21.05,In Stock,1
FURNITURE,4971.25,2.76,12.45,Out of Stock,0
ELECTRONICS,8320.06,2.35,18.71,Out of Stock,0
FOOD,734.16,3.42,1.18,In Stock,1
FOOD,605.98,4.66,29.04,In Stock,1
FOOD,717.38,4.2,15.9,In Stock,1
ELECTRONICS,5139.21,1.99,9.19,Out of Stock,0
FURNITURE,10542.05,2.95,11.14,Out of Stock,0
FURNITURE,6357.2,2.98,1.32,Out of Stock,0
FOOD,360.25,4.5,20.8,In Stock,1
FOOD,792.98,3.56,14.95,In Stock,1
FURNITURE,6954.36,2.54,12.85,Out of Stock,0
FOOD,563.16,4.76,6.11,In Stock,1
ELECTRONICS,9366.81,1.24,17.77,Out of Stock,0
FOOD,296.81,3.63,15.36,In Stock,1
FOOD,755.52,3.1,10.57,In Stock,1
CLOTHING,2641.43,3.19,13.96,Out of Stock,0
FOOD,368.6,3.77,27.46,In Stock,1
FURNITURE,12143.21,2.77,14.83,Out of Stock,0
FURNITURE,8583.33,1.2,3.93,Out of Stock,0
CLOTHING,1590.18,2.47,47.64,In Stock,1
ELECTRONICS,8834.24,2.07,11.82,In Stock,1
FURNITURE,11657.39,4.29,13.22,Out of Stock,0
FURNITURE,9182.31,3.71,8.43,Out of Stock,0
ELECTRONICS,7763.52,1.46,2.52,Out of Stock,0
FURNITURE,9354.4,1.94,0.32,Out of Stock,0
FURNITURE,11674.07,1.11,8.93,Out of Stock,0
FOOD,454.4,4.94,14.53,In Stock,1
FOOD,97.7,4.1,25.23,In Stock,1
CLOTHING,2992.12,3.29,19.41,In Stock,1
ELECTRONICS,9533.27,1.76,12.31,Out of Stock,0
CLOTHING,1514.29,2.12,20.63,In Stock,1
FURNITURE,6182.74,3.4,14.23,In Stock,1
ELECTRONICS,6340.24,4.25,1.11,Out of Stock,0
CLOTHING,1845.3,2.21,47.03,In Stock,1
CLOTHING,2415.88,3.97,42.08,In Stock,1
FOOD,535.64,4.94,21.42,In Stock,1
FURNITURE,14095.9,2.81,1.76,Out of Stock,0
ELECTRONICS,1820.44,2.38,31.66,In Stock,1
CLOTHING,1706.23,3.87,5.45,In Stock,1
FOOD,196.13,3.98,28.52,In Stock,1
CLOTHING,1459.02,3.27,37.16,In Stock,1
ELECTRONICS,8018.96,2.2,8.22,Out of Stock,0
CLOTHING,1044.25,4.9,10.88,In Stock,1
ELECTRONICS,6859.18,1.1,4.44,Out of Stock,0
ELECTRONICS,8902.36,1.8,1.6,Out of Stock,0
CLOTHING,1686.13,2.03,8.81,In Stock,1
CLOTHING,2519.06,4.31,46.18,In Stock,1
FURNITURE,13254.19,3.39,0.78,Out of Stock,0
CLOTHING,2457.12,4.54,40.96,In Stock,1
ELECTRONICS,431.36,3.03,25.36,In Stock,1
FOOD,595.37,4.96,4.67,In Stock,1
ELECTRONICS,6128.32,1.85,15.85,Out of Stock,0
FOOD,190.18,3.13,29.96,In Stock,1
ELECTRONICS,5124.09,4.34,7.31,Out of Stock,0
FURNITURE,13099.39,2.94,13.52,Out of Stock,0
ELECTRONICS,9630.96,1.04,1.51,Out of Stock,0
CLOTHING,1125.9,4.01,44.97,In Stock,1
ELECTRONICS,7251.75,3.43,3.77,Out of Stock,0
FURNITURE,12659.6,4.39,4.03,Out of Stock,0
FOOD,421.12,3.17,16.77,In Stock,1
ELECTRONICS,427.09,3.29,13.26,In Stock,1
ELECTRONICS,6670.52,3.09,11.71,Out of Stock,0
FOOD,56.37,4.52,21.39,In Stock,1
ELECTRONICS,6831.43,1.21,15.1,Out of Stock,0
FURNITURE,14462.1,1.84,4.85,Out of Stock,0
ELECTRONICS,5919.06,3.31,3.1,Out of Stock,0
ELECTRONICS,6780.97,3.79,11.2,Out of Stock,0
ELECTRONICS,6932.31,2.68,11.24,Out of Stock,0
CLOTHING,514.66,2.24,44.66,In Stock,1
FOOD,108.41,4.41,27.6,In Stock,1
ELECTRONICS,6353.42,2.48,11.38,Out of Stock,0
FURNITURE,13580.51,4.3,11.09,Out of Stock,0
CLOTHING,716.55,4.01,23.46,In Stock,1
FOOD,403.03,3.1,5.73,In Stock,1
CLOTHING,2476.28,3.36,12.23,In Stock,1
CLOTHING,1460.05,4.56,38.7,In Stock,1
ELECTRONICS,254.24,3.24,7.56,In Stock,1
ELECTRONICS,9603.78,3.33,10.67,Out of Stock,0
ELECTRONICS,7981.97,2.46,16.14,In Stock,1
FURNITURE,9279.43,2.75,1.94,Out of Stock,0
FURNITURE,9442.31,4.28,4.63,Out of Stock,0
CLOTHING,2673.85,4.29,16.15,In Stock,1
CLOTHING,590.85,2.31,12.23,In Stock,1
FOOD,199.75,3.74,15.05,In Stock,1
CLOTHING,2313.67,2.34,23.29,Out of Stock,0
ELECTRONICS,7425.36,3.16,16.37,In Stock,1
ELECTRONICS,5858.39,4.23,13.86,In Stock,1
FOOD,466.9,3.96,12.36,In Stock,1
FOOD,153.8,3.96,15.74,In Stock,1
ELECTRONICS,8196.87,2.35,18.14,In Stock,1
ELECTRONICS,7251.75,1.34,9.0,Out of Stock,0
ELECTRONICS,8781.78,4.18,9.89,Out of Stock,0
FOOD,721.06,3.54,12.32,In Stock,1
ELECTRONICS,9492.98,4.59,13.71,Out of Stock,0
ELECTRONICS,9294.9,1.36,17.3,Out of Stock,0
FURNITURE,6847.44,1.62,3.59,Out of Stock,0
ELECTRONICS,7089.84,2.0,6.41,Out of Stock,0
FOOD,151.23,3.59,17.17,Out of Stock,0
ELECTRONICS,7209.27,2.39,14.93,Out of Stock,0
ELECTRONICS,9467.55,4.03,6.64,In Stock,1
ELECTRONICS,8722.21,1.61,2.61,Out of Stock,0
FOOD,309.22,4.62,7.39,In Stock,1
FURNITURE,3759.04,1.46,12.88,Out of Stock,0
FURNITURE,10605.4,1.89,8.33,In Stock,1
CLOTHING,1818.95,3.97,12.23,In Stock,1
FOOD,698.3,3.62,20.82,In Stock,1
ELECTRONICS,5080.62,2.49,12.23,Out of Stock,0
CLOTHING,1858.71,3.46,40.56,In Stock,1
FURNITURE,5613.37,3.37,12.05,Out of Stock,0
ELECTRONICS,7809.38,3.96,13.24,Out of Stock,0
ELECTRONICS,6777.65,4.24,5.89,Out of Stock,0
ELECTRONICS,7856.06,3.98,7.58,In Stock,1
ELECTRONICS,6513.84,2.84,16.36,In Stock,1
ELECTRONICS,9649.61,3.18,13.23,Out of Stock,0
FOOD,727.46,3.2,6.96,In Stock,1
CLOTHING,2272.25,4.47,43.57,In Stock,1
FURNITURE,7981.29,1.31,6.57,Out of Stock,0
FURNITURE,5768.82,2.02,11.58,Out of Stock,0
CLOTHING,688.82,4.48,24.25,In Stock,1
CLOTHING,1990.16,2.27,12.23,Out of Stock,0
CLOTHING,724.25,4.88,41.33,In Stock,1
FOOD,394.72,3.45,28.0,In Stock,1
CLOTHING,1361.49,2.48,30.34,In Stock,1
FOOD,757.83,3.01,7.14,In Stock,1
CLOTHING,2846.12,2.51,10.1,In Stock,1
FOOD,419.74,4.72,14.31,In Stock,1
CLOTHING,2986.41,4.04,8.33,In Stock,1
CLOTHING,2982.08,3.46,17.93,In Stock,1
FURNITURE,9694.55,2.07,1.3,Out of Stock,0
FURNITURE,3017.14,2.57,12.55,Out of Stock,0
ELECTRONICS,7861.58,5.0,5.74,Out of Stock,0
FURNITURE,6365.46,1.56,2.46,Out of Stock,0
CLOTHING,1212.97,3.46,45.76,In Stock,1
ELECTRONICS,14701.05,1.81,13.22,Out of Stock,0
FURNITURE,6939.06,1.39,13.05,Out of Stock,0
CLOTHING,2090.26,2.49,24.34,In Stock,1
ELECTRONICS,6436.29,3.95,9.07,Out of Stock,0
ELECTRONICS,2973.2,2.16,20.98,In Stock,1
FOOD,411.43,4.01,9.48,In Stock,1
FOOD,596.93,4.75,28.16,In Stock,1
CLOTHING,2512.73,4.55,29.77,In Stock,1
ELECTRONICS,9129.44,2.21,7.97,Out of Stock,0
FURNITURE,6802.96,2.64,4.28,Out of Stock,0
FURNITURE,14539.34,2.09,1.47,Out of Stock,0
FOOD,445.11,3.11,3.32,In Stock,1
ELECTRONICS,6096.95,2.86,8.67,In Stock,1
CLOTHING,2499.23,4.22,24.18,In Stock,1
ELECTRONICS,6668.52,3.03,15.48,In Stock,1
FURNITURE,3624.87,1.04,11.93,Out of Stock,0
ELECTRONICS,7385.73,1.52,4.71,Out of Stock,0
FOOD,749.38,4.72,21.29,In Stock,1
CLOTHING,1705.56,3.56,48.89,In Stock,1
FOOD,774.33,3.43,24.33,In Stock,1
FOOD,197.93,3.43,20.28,In Stock,1
FURNITURE,7860.01,4.26,1.34,Out of Stock,0
ELECTRONICS,7557.63,4.67,18.08,In Stock,1
ELECTRONICS,5782.65,2.47,12.38,In Stock,1
ELECTRONICS,5796.97,4.87,18.29,Out of Stock,0
FURNITURE,5003.4,1.42,1.28,Out of Stock,0
FURNITURE,13913.32,1.68,6.24,Out of Stock,0
FOOD,386.64,4.2,2.15,In Stock,1
FOOD,220.07,3.96,27.25,In Stock,1
FOOD,635.97,3.04,9.81,In Stock,1
ELECTRONICS,8139.79,2.1,18.19,Out of Stock,0
FURNITURE,10606.67,1.25,13.64,Out of Stock,0
CLOTHING,2894.42,2.23,28.96,Out of Stock,0
CLOTHING,1258.41,3.18,13.08,In Stock,1
FOOD,483.55,3.96,15.09,In Stock,1
ELECTRONICS,7251.75,3.48,6.8,In Stock,1
ELECTRONICS,9279.63,2.74,3.86,Out of Stock,0
FOOD,193.33,4.54,7.97,In Stock,1
ELECTRONICS,8836.17,1.82,6.43,Out of Stock,0
FOOD,399.12,4.89,27.95,In Stock,1
ELECTRONICS,6034.36,2.43,2.99,Out of Stock,0
CLOTHING,1774.96,3.38,45.53,In Stock,1
CLOTHING,2825.01,3.15,27.13,In Stock,1
CLOTHING,2740.59,4.42,5.16,In Stock,1
FOOD,290.04,3.84,6.89,In Stock,1
CLOTHING,998.93,2.11,33.95,In Stock,1
FOOD,246.88,3.1,6.93,In Stock,1
CLOTHING,2504.78,4.55,26.74,In Stock,1
FOOD,362.05,4.96,6.02,In Stock,1
FURNITURE,5584.31,2.02,2.59,Out of Stock,0
FOOD,334.52,4.82,18.46,In Stock,1
ELECTRONICS,7059.73,3.03,0.97,Out of Stock,0
ELECTRONICS,6051.38,3.26,12.31,In Stock,1
CLOTHING,598.89,3.21,34.21,In Stock,1
FOOD,573.55,4.28,9.62,In Stock,1
ELECTRONICS,5467.6,2.71,2.58,Out of Stock,0
CLOTHING,2869.06,3.46,19.28,In Stock,1
FOOD,624.73,4.0,9.3,In Stock,1
CLOTHING,2529.92,4.6,35.29,In Stock,1
FURNITURE,3563.57,2.98,11.45,Out of Stock,0
ELECTRONICS,7251.75,1.91,17.65,Out of Stock,0
ELECTRONICS,5100.61,4.01,9.48,Out of Stock,0
FOOD,385.08,3.01,24.58,In Stock,1
CLOTHING,1399.56,3.62,35.48,In Stock,1
FOOD,576.97,4.91,15.94,In Stock,1
CLOTHING,1499.3,4.86,33.89,In Stock,1
ELECTRONICS,6490.75,1.51,16.85,Out of Stock,0
FURNITURE,7346.18,3.31,7.06,Out of Stock,0
FURNITURE,5387.16,2.75,0.91,In Stock,1
FOOD,360.01,4.09,13.08,In Stock,1
CLOTHING,2371.68,4.48,39.71,In Stock,1
FOOD,79.11,3.39,16.1,In Stock,1
CLOTHING,2837.06,4.5,42.91,In Stock,1
ELECTRONICS,7251.75,2.72,9.41,Out of Stock,0
FURNITURE,4888.46,1.11,14.2,Out of Stock,0
ELECTRONICS,6203.56,1.96,1.67,Out of Stock,0
FURNITURE,14142.09,3.03,12.23,Out of Stock,0
CLOTHING,2778.94,3.04,32.97,In Stock,1
ELECTRONICS,5194.0,1.75,16.62,Out of Stock,0
FOOD,625.08,3.7,11.3,In Stock,1
FURNITURE,9402.65,1.0,3.62,Out of Stock,0
FOOD,206.17,3.5,24.18,In Stock,1
ELECTRONICS,6356.09,1.67,7.56,Out of Stock,0
FOOD,699.23,3.48,2.36,In Stock,1
FOOD,317.3,4.5,16.52,In Stock,1
FURNITURE,12801.52,2.75,11.89,Out of Stock,0
