Category,Price,Rating,Discount,Stock
Electronics,7113.43,3.87,8.85,Out of Stock
Clothing,2330.55,2.7,41.59,In Stock
Clothing,1971.08,2.63,15.65,Out of Stock
Food,521.02,4.66,12.47,In Stock
Clothing,1145.75,,35.12,In Stock
Clothing,1620.21,3.46,14.19,In Stock
Food,520.1,3.72,29.87,In Stock
Electronics,7400.92,2.94,11.32,Out of Stock
Clothing,2791.89,4.4,25.3,In Stock
Food,589.02,4.17,14.77,In Stock
Furniture,5307.79,2.62,3.69,Out of Stock
Food,736.13,3.67,28.57,In Stock
Food,449.79,4.26,16.29,In Stock
Electronics,5646.9,2.5,1.98,Out of Stock
Clothing,2057.39,3.34,40.01,In Stock
Food,215.35,3.33,12.19,In Stock
Electronics,9632.93,3.84,8.38,In Stock
Clothing,1793.18,2.25,49.31,In Stock
Clothing,2166.02,2.86,31.36,In Stock
,5547.41,,3.5,Out of Stock
Clothing,2120.08,2.74,37.29,In Stock
Electronics,8884.11,3.69,12.29,Out of Stock
Clothing,2731.17,2.24,19.89,In Stock
Electronics,6241.44,4.95,7.79,In Stock
Furniture,11791.35,3.4,3.18,Out of Stock
Food,229.25,3.56,12.33,In Stock
Food,225.74,3.04,26.38,In Stock
Furniture,14587.32,2.2,5.08,Out of Stock
Clothing,517.73,4.04,42.14,In Stock
Electronics,5733.04,1.64,15.8,In Stock
Food,512.22,3.09,18.68,In Stock
Food,281.69,3.74,23.09,In Stock
Food,658.2,3.8,28.41,In Stock
Clothing,1516.16,,26.77,In Stock
Electronics,9487.66,4.63,1.75,Out of Stock
Clothing,2841.23,4.48,40.61,In Stock
Clothing,1002.28,,43.26,In Stock
Food,266.86,4.9,1.5,In Stock
Food,162.43,4.08,17.27,In Stock
Clothing,2112.88,2.05,48.22,In Stock
Furniture,3535.06,1.5,0.21,Out of Stock
Food,475.14,,,In Stock
Electronics,9113.29,1.05,10.84,Out of Stock
Electronics,7297.81,3.0,1.44,Out of Stock
Electronics,8422.18,3.01,15.3,In Stock
Electronics,7426.45,1.6,12.97,Out of Stock
Electronics,5861.93,4.49,12.26,Out of Stock
Electronics,5786.02,4.85,10.37,Out of Stock
Clothing,,3.88,16.39,In Stock
Electronics,9018.47,4.27,19.58,In Stock
Furniture,9022.43,2.59,11.3,Out of Stock
Electronics,5662.35,3.19,10.92,Out of Stock
Food,117.1,,25.6,In Stock
Clothing,2640.38,2.3,9.08,In Stock
Furniture,6152.35,4.06,1.93,Out of Stock
Electronics,8599.98,1.4,12.46,Out of Stock
Clothing,,4.37,15.52,In Stock
Furniture,10670.42,,10.7,In Stock
Furniture,13484.14,1.44,13.0,Out of Stock
Furniture,10122.9,1.44,6.41,Out of Stock
Clothing,902.15,4.1,,In Stock
Electronics,5528.98,3.02,16.29,In Stock
Food,752.12,4.03,28.51,In Stock
Furniture,9428.27,2.38,12.72,Out of Stock
Food,419.74,3.94,,In Stock
Food,685.09,4.66,12.11,In Stock
Clothing,1333.25,3.48,30.77,In Stock
Furniture,5860.05,3.78,7.3,Out of Stock
Electronics,6670.23,1.43,4.78,Out of Stock
Clothing,2873.2,2.92,12.6,In Stock
Clothing,1651.68,2.92,6.58,In Stock
Food,292.36,4.09,16.55,In Stock
Electronics,6782.79,2.79,19.31,In Stock
Electronics,6886.74,2.03,4.87,Out of Stock
Food,393.32,4.52,6.18,In Stock
Clothing,2273.24,2.06,,In Stock
Food,,3.68,16.91,In Stock
Electronics,6024.9,3.97,1.05,Out of Stock
Clothing,2631.36,2.59,44.35,In Stock
Food,314.4,4.45,9.58,In Stock
Electronics,9529.56,1.51,3.57,In Stock
Clothing,1732.58,2.25,13.82,In Stock
Electronics,9718.83,4.91,7.53,Out of Stock
Electronics,9616.43,3.18,5.39,Out of Stock
Furniture,11428.78,,14.84,In Stock
Clothing,1162.62,4.02,7.34,In Stock
Furniture,4363.75,,14.99,Out of Stock
Clothing,2505.68,4.36,27.94,In Stock
Food,275.05,3.3,8.54,In Stock
Furniture,7511.65,3.65,8.09,Out of Stock
Food,108.11,3.04,3.07,In Stock
Clothing,1526.25,4.8,33.68,In Stock
Clothing,2504.56,3.4,21.27,In Stock
Clothing,771.0,4.63,40.24,In Stock
Furniture,5017.42,,7.31,Out of Stock
Furniture,10501.1,4.31,8.7,In Stock
Furniture,9482.61,,0.94,Out of Stock
Electronics,5936.73,1.13,14.87,Out of Stock
Food,592.5,3.27,25.08,In Stock
Furniture,4857.43,2.05,3.73,Out of Stock
Electronics,6861.54,2.02,9.78,Out of Stock
Electronics,7037.04,4.95,1.12,Out of Stock
Food,156.64,3.11,18.78,In Stock
Food,90.88,4.67,15.36,In Stock
Furniture,9324.09,2.97,2.56,Out of Stock
Electronics,5988.45,2.28,11.87,In Stock
Furniture,5521.41,1.41,14.55,In Stock
Electronics,5109.91,4.21,15.76,Out of Stock
Electronics,6486.07,1.54,2.91,Out of Stock
Electronics,8487.16,3.57,15.65,Out of Stock
Furniture,14249.77,3.42,2.34,In Stock
Food,232.58,4.68,6.28,In Stock
Food,104.39,4.41,12.08,In Stock
Clothing,2800.1,,9.07,In Stock
Furniture,14374.28,1.9,5.06,Out of Stock
Clothing,1505.65,2.15,27.34,In Stock
Furniture,4479.82,2.4,5.26,Out of Stock
Clothing,2432.1,4.41,11.9,In Stock
Clothing,1416.38,3.12,11.81,In Stock
Clothing,,4.12,13.57,In Stock
Clothing,1416.8,2.32,33.27,Out of Stock
Food,141.03,4.97,23.42,In Stock
Food,342.68,4.16,27.34,In Stock
Electronics,7770.5,1.7,7.57,Out of Stock
Furniture,13117.74,3.25,9.76,Out of Stock
Clothing,2667.05,4.68,46.39,In Stock
Food,121.14,,22.22,In Stock
Furniture,12083.12,3.12,2.5,Out of Stock
Food,648.07,4.44,2.58,In Stock
Electronics,7319.05,,6.75,Out of Stock
Furniture,3216.97,2.4,8.25,Out of Stock
Food,514.69,4.33,25.09,In Stock
Clothing,1038.66,2.36,43.32,In Stock
Electronics,5783.06,4.9,16.85,In Stock
Furniture,9010.52,4.43,1.46,Out of Stock
Food,277.3,4.28,10.5,In Stock
Food,746.28,3.13,16.48,In Stock
Furniture,10090.4,3.28,3.83,Out of Stock
,7374.8,3.95,2.92,Out of Stock
Electronics,9134.34,3.25,15.24,In Stock
Clothing,,2.62,30.6,Out of Stock
Electronics,9338.62,2.73,19.33,In Stock
Food,389.16,3.29,11.68,In Stock
Electronics,9758.51,2.28,17.36,Out of Stock
Food,710.94,3.7,2.5,In Stock
Furniture,11694.69,2.09,11.74,Out of Stock
Furniture,8311.86,,11.67,Out of Stock
Clothing,1455.91,3.33,21.93,In Stock
Furniture,7408.09,,12.13,Out of Stock
Electronics,6808.84,3.1,13.41,Out of Stock
Furniture,6233.27,1.97,14.0,Out of Stock
Electronics,8617.67,3.31,12.95,Out of Stock
Clothing,573.25,3.85,27.93,In Stock
Furniture,9549.0,2.26,1.22,Out of Stock
Electronics,5966.7,4.8,8.17,In Stock
,7333.42,1.21,0.75,Out of Stock
Food,587.89,4.08,15.26,In Stock
Food,232.34,4.49,5.05,In Stock
Food,192.45,3.92,8.59,In Stock
Food,235.6,4.29,19.53,In Stock
,668.39,3.84,2.19,In Stock
Clothing,1184.17,4.94,31.83,In Stock
Clothing,2274.34,2.02,28.32,In Stock
Electronics,5187.64,3.28,18.42,In Stock
Furniture,14621.03,2.89,6.87,Out of Stock
Food,758.76,4.35,1.95,In Stock
Clothing,1664.31,2.72,26.14,In Stock
,1638.66,3.75,21.05,In Stock
Furniture,4971.25,2.76,12.45,Out of Stock
Electronics,8320.06,2.35,18.71,Out of Stock
Food,734.16,3.42,1.18,In Stock
Food,605.98,4.66,29.04,In Stock
Food,717.38,4.2,15.9,In Stock
,5139.21,1.99,9.19,Out of Stock
Furniture,10542.05,2.95,11.14,Out of Stock
Furniture,6357.2,2.98,1.32,Out of Stock
Food,360.25,4.5,20.8,In Stock
Food,792.98,3.56,14.95,In Stock
Furniture,6954.36,2.54,12.85,Out of Stock
Food,563.16,4.76,6.11,In Stock
Electronics,9366.81,1.24,17.77,Out of Stock
Food,296.81,3.63,15.36,In Stock
Food,755.52,3.1,10.57,In Stock
Clothing,2641.43,3.19,13.96,Out of Stock
Food,368.6,3.77,27.46,In Stock
Furniture,12143.21,2.77,14.83,Out of Stock
Furniture,8583.33,1.2,3.93,Out of Stock
Clothing,1590.18,2.47,47.64,In Stock
Electronics,8834.24,2.07,11.82,In Stock
Furniture,11657.39,4.29,13.22,Out of Stock
Furniture,9182.31,3.71,8.43,Out of Stock
Electronics,7763.52,1.46,2.52,Out of Stock
Furniture,9354.4,1.94,0.32,Out of Stock
Furniture,11674.07,1.11,8.93,Out of Stock
Food,454.4,4.94,14.53,In Stock
Food,97.7,4.1,25.23,In Stock
Clothing,2992.12,3.29,19.41,In Stock
,9533.27,1.76,12.31,Out of Stock
Clothing,1514.29,2.12,20.63,In Stock
Furniture,6182.74,3.4,14.23,In Stock
Electronics,6340.24,4.25,1.11,Out of Stock
Clothing,1845.3,2.21,47.03,In Stock
Clothing,2415.88,3.97,42.08,In Stock
Food,535.64,4.94,21.42,In Stock
Furniture,14095.9,2.81,1.76,Out of Stock
,1820.44,2.38,31.66,In Stock
Clothing,1706.23,3.87,5.45,In Stock
Food,196.13,3.98,28.52,In Stock
Clothing,1459.02,3.27,37.16,In Stock
Electronics,8018.96,2.2,8.22,Out of Stock
Clothing,1044.25,4.9,10.88,In Stock
,6859.18,1.1,4.44,Out of Stock
Electronics,8902.36,1.8,1.6,Out of Stock
Clothing,1686.13,2.03,8.81,In Stock
Clothing,2519.06,4.31,46.18,In Stock
Furniture,13254.19,3.39,0.78,Out of Stock
Clothing,2457.12,4.54,40.96,In Stock
,431.36,,25.36,In Stock
Food,595.37,4.96,4.67,In Stock
,6128.32,1.85,15.85,Out of Stock
Food,190.18,3.13,29.96,In Stock
Electronics,5124.09,4.34,7.31,Out of Stock
Furniture,13099.39,2.94,13.52,Out of Stock
Electronics,9630.96,1.04,1.51,Out of Stock
Clothing,1125.9,4.01,44.97,In Stock
Electronics,,3.43,3.77,Out of Stock
Furniture,12659.6,4.39,4.03,Out of Stock
Food,421.12,3.17,16.77,In Stock
,427.09,3.29,13.26,In Stock
Electronics,6670.52,3.09,11.71,Out of Stock
Food,56.37,4.52,21.39,In Stock
Electronics,6831.43,1.21,15.1,Out of Stock
Furniture,14462.1,1.84,4.85,Out of Stock
Electronics,5919.06,3.31,3.1,Out of Stock
Electronics,6780.97,3.79,11.2,Out of Stock
,6932.31,2.68,11.24,Out of Stock
Clothing,514.66,2.24,44.66,In Stock
Food,108.41,4.41,27.6,In Stock
Electronics,6353.42,2.48,11.38,Out of Stock
Furniture,13580.51,4.3,11.09,Out of Stock
Clothing,716.55,4.01,23.46,In Stock
Food,403.03,3.1,5.73,In Stock
Clothing,2476.28,3.36,,In Stock
Clothing,1460.05,4.56,38.7,In Stock
,254.24,3.24,7.56,In Stock
Electronics,9603.78,3.33,10.67,Out of Stock
Electronics,7981.97,2.46,16.14,In Stock
Furniture,9279.43,,1.94,Out of Stock
Furniture,9442.31,4.28,4.63,Out of Stock
Clothing,2673.85,4.29,16.15,In Stock
Clothing,590.85,2.31,,In Stock
Food,199.75,3.74,15.05,In Stock
Clothing,2313.67,2.34,23.29,Out of Stock
Electronics,7425.36,3.16,16.37,In Stock
Electronics,5858.39,4.23,13.86,In Stock
Food,466.9,,12.36,In Stock
Food,153.8,,15.74,In Stock
Electronics,8196.87,2.35,18.14,In Stock
Electronics,,1.34,9.0,Out of Stock
Electronics,8781.78,4.18,9.89,Out of Stock
Food,721.06,3.54,12.32,In Stock
Electronics,9492.98,4.59,13.71,Out of Stock
Electronics,9294.9,1.36,17.3,Out of Stock
Furniture,6847.44,1.62,3.59,Out of Stock
Electronics,7089.84,2.0,6.41,Out of Stock
Food,151.23,3.59,17.17,Out of Stock
Electronics,7209.27,2.39,14.93,Out of Stock
Electronics,9467.55,4.03,6.64,In Stock
Electronics,8722.21,1.61,2.61,Out of Stock
Food,309.22,4.62,7.39,In Stock
Furniture,3759.04,1.46,12.88,Out of Stock
Furniture,10605.4,1.89,8.33,In Stock
Clothing,1818.95,3.97,,In Stock
Food,698.3,3.62,20.82,In Stock
Electronics,5080.62,2.49,,Out of Stock
Clothing,1858.71,,40.56,In Stock
Furniture,5613.37,3.37,12.05,Out of Stock
Electronics,7809.38,3.96,13.24,Out of Stock
Electronics,6777.65,4.24,5.89,Out of Stock
Electronics,7856.06,3.98,7.58,In Stock
Electronics,6513.84,2.84,16.36,In Stock
Electronics,9649.61,3.18,13.23,Out of Stock
Food,727.46,3.2,6.96,In Stock
Clothing,2272.25,4.47,43.57,In Stock
Furniture,7981.29,1.31,6.57,Out of Stock
Furniture,5768.82,2.02,11.58,Out of Stock
Clothing,688.82,4.48,24.25,In Stock
Clothing,1990.16,2.27,,Out of Stock
Clothing,724.25,4.88,41.33,In Stock
Food,394.72,3.45,28.0,In Stock
Clothing,1361.49,2.48,30.34,In Stock
Food,757.83,3.01,7.14,In Stock
Clothing,2846.12,2.51,10.1,In Stock
Food,,4.72,14.31,In Stock
Clothing,2986.41,4.04,8.33,In Stock
Clothing,2982.08,,17.93,In Stock
Furniture,9694.55,2.07,1.3,Out of Stock
Furniture,3017.14,2.57,12.55,Out of Stock
Electronics,7861.58,5.0,5.74,Out of Stock
Furniture,6365.46,1.56,2.46,Out of Stock
Clothing,1212.97,,45.76,In Stock
,14701.05,1.81,13.22,Out of Stock
Furniture,6939.06,1.39,13.05,Out of Stock
Clothing,2090.26,2.49,24.34,In Stock
Electronics,6436.29,3.95,9.07,Out of Stock
,2973.2,2.16,20.98,In Stock
Food,411.43,4.01,9.48,In Stock
Food,596.93,4.75,28.16,In Stock
Clothing,2512.73,4.55,29.77,In Stock
Electronics,9129.44,2.21,7.97,Out of Stock
Furniture,6802.96,2.64,4.28,Out of Stock
Furniture,14539.34,2.09,1.47,Out of Stock
Food,445.11,3.11,3.32,In Stock
,6096.95,2.86,8.67,In Stock
Clothing,2499.23,4.22,24.18,In Stock
Electronics,6668.52,,15.48,In Stock
Furniture,3624.87,1.04,11.93,Out of Stock
Electronics,7385.73,1.52,4.71,Out of Stock
Food,749.38,4.72,21.29,In Stock
Clothing,1705.56,3.56,48.89,In Stock
Food,774.33,3.43,24.33,In Stock
Food,197.93,3.43,20.28,In Stock
Furniture,7860.01,4.26,1.34,Out of Stock
Electronics,7557.63,4.67,18.08,In Stock
Electronics,5782.65,2.47,12.38,In Stock
Electronics,5796.97,4.87,18.29,Out of Stock
Furniture,5003.4,1.42,1.28,Out of Stock
Furniture,13913.32,1.68,6.24,Out of Stock
Food,386.64,4.2,2.15,In Stock
Food,220.07,,27.25,In Stock
Food,635.97,3.04,9.81,In Stock
Electronics,8139.79,2.1,18.19,Out of Stock
Furniture,10606.67,1.25,13.64,Out of Stock
Clothing,2894.42,2.23,28.96,Out of Stock
Clothing,1258.41,3.18,13.08,In Stock
Food,483.55,,15.09,In Stock
Electronics,,3.48,6.8,In Stock
Electronics,9279.63,2.74,3.86,Out of Stock
Food,193.33,4.54,7.97,In Stock
Electronics,8836.17,1.82,6.43,Out of Stock
Food,399.12,4.89,27.95,In Stock
Electronics,6034.36,2.43,2.99,Out of Stock
Clothing,1774.96,3.38,45.53,In Stock
Clothing,2825.01,3.15,27.13,In Stock
Clothing,2740.59,4.42,5.16,In Stock
Food,290.04,3.84,6.89,In Stock
Clothing,998.93,2.11,33.95,In Stock
Food,246.88,3.1,6.93,In Stock
Clothing,2504.78,4.55,26.74,In Stock
Food,362.05,4.96,6.02,In Stock
Furniture,5584.31,2.02,2.59,Out of Stock
Food,334.52,4.82,18.46,In Stock
Electronics,7059.73,,0.97,Out of Stock
Electronics,6051.38,3.26,12.31,In Stock
Clothing,598.89,3.21,34.21,In Stock
Food,573.55,4.28,9.62,In Stock
Electronics,5467.6,2.71,2.58,Out of Stock
Clothing,2869.06,,19.28,In Stock
Food,624.73,4.0,9.3,In Stock
Clothing,2529.92,4.6,35.29,In Stock
Furniture,3563.57,2.98,11.45,Out of Stock
,,1.91,17.65,Out of Stock
Electronics,5100.61,4.01,9.48,Out of Stock
Food,385.08,3.01,24.58,In Stock
Clothing,1399.56,3.62,35.48,In Stock
Food,576.97,4.91,15.94,In Stock
Clothing,1499.3,4.86,33.89,In Stock
Electronics,6490.75,1.51,16.85,Out of Stock
Furniture,7346.18,3.31,7.06,Out of Stock
Furniture,5387.16,,0.91,In Stock
Food,360.01,4.09,13.08,In Stock
Clothing,2371.68,4.48,39.71,In Stock
Food,79.11,3.39,16.1,In Stock
Clothing,2837.06,4.5,42.91,In Stock
Electronics,,2.72,9.41,Out of Stock
Furniture,4888.46,1.11,14.2,Out of Stock
Electronics,6203.56,1.96,1.67,Out of Stock
Furniture,14142.09,3.03,,Out of Stock
Clothing,2778.94,3.04,32.97,In Stock
Electronics,5194.0,1.75,16.62,Out of Stock
Food,625.08,3.7,11.3,In Stock
Furniture,9402.65,1.0,3.62,Out of Stock
Food,206.17,3.5,24.18,In Stock
,6356.09,1.67,7.56,Out of Stock
Food,699.23,3.48,2.36,In Stock
Food,317.3,4.5,16.52,In Stock
Furniture,12801.52,,11.89,Out of Stock
Electronics,8019.02,2.97,0.8,Out of Stock
Clothing,2960.8,3.15,11.85,In Stock
Electronics,8333.54,2.14,11.72,Out of Stock
Furniture,10041.21,2.56,12.54,Out of Stock
Furniture,6179.6,2.57,8.07,Out of Stock
Electronics,8318.12,4.14,7.9,In Stock
Food,534.54,3.3,27.98,In Stock
Furniture,,,0.31,Out of Stock
Electronics,6025.94,2.95,17.57,In Stock
Food,445.44,4.86,14.51,In Stock
Furniture,8885.39,1.42,12.04,Out of Stock
Electronics,6234.83,4.6,18.22,Out of Stock
Food,757.48,4.04,20.31,In Stock
Clothing,2446.29,,,In Stock
Furniture,3411.57,2.74,2.32,Out of Stock
Furniture,5195.08,,6.49,In Stock
Furniture,,1.26,7.56,Out of Stock
Clothing,956.56,3.72,33.68,In Stock
Furniture,9680.51,3.58,5.03,Out of Stock
Furniture,12181.28,,7.26,Out of Stock
Clothing,2120.26,2.06,34.43,In Stock
Furniture,10423.02,2.08,1.29,Out of Stock
Electronics,5454.68,4.69,13.79,In Stock
Food,145.33,3.71,17.77,In Stock
Electronics,9177.86,1.17,4.73,Out of Stock
Electronics,9448.74,1.04,4.03,Out of Stock
Electronics,9795.12,3.45,5.23,Out of Stock
Food,100.24,3.06,7.34,In Stock
Clothing,2703.71,,37.42,In Stock
Food,738.71,3.82,5.74,In Stock
Electronics,7585.59,4.63,,Out of Stock
Clothing,664.57,4.08,,In Stock
Food,730.6,3.24,16.02,In Stock
Furniture,13553.55,2.44,7.23,Out of Stock
Clothing,676.15,,19.6,In Stock
Food,,,13.83,In Stock
Furniture,11055.65,1.57,7.3,Out of Stock
Food,603.9,4.73,18.79,In Stock
Electronics,8345.27,1.51,18.92,Out of Stock
Electronics,5662.87,4.1,5.3,Out of Stock
Furniture,14203.12,3.52,11.31,Out of Stock
Electronics,6095.3,2.77,12.36,In Stock
Furniture,12239.68,,14.44,Out of Stock
Food,717.67,3.54,24.68,In Stock
Furniture,9219.89,2.62,4.72,Out of Stock
Furniture,9971.62,,6.16,In Stock
Furniture,,3.45,,Out of Stock
Clothing,629.92,4.58,25.62,In Stock
Furniture,6148.99,1.85,7.25,Out of Stock
Clothing,2717.08,3.14,38.74,In Stock
Clothing,742.05,3.43,49.63,In Stock
Food,627.83,3.42,15.04,In Stock
Furniture,5803.5,2.43,11.7,Out of Stock
Furniture,12254.7,1.8,13.83,Out of Stock
Furniture,10110.82,2.33,7.53,Out of Stock
Clothing,2012.68,,26.89,In Stock
Clothing,1762.33,2.53,41.57,In Stock
Food,456.32,3.26,22.98,In Stock
Electronics,9662.22,,7.38,Out of Stock
Electronics,5677.58,3.07,2.25,Out of Stock
Clothing,2834.97,2.55,16.37,In Stock
,,3.15,40.76,In Stock
Clothing,1640.79,2.51,17.02,In Stock
Electronics,7545.57,1.59,12.23,Out of Stock
Electronics,7828.74,3.86,18.75,In Stock
Electronics,9561.27,4.78,4.89,In Stock
Furniture,4578.78,,13.43,Out of Stock
Clothing,2930.13,4.58,9.95,In Stock
Clothing,2868.57,3.27,5.42,In Stock
Food,381.8,3.09,16.32,In Stock
Electronics,6692.77,2.89,12.26,Out of Stock
Furniture,13425.61,3.32,6.51,Out of Stock
Furniture,12833.13,4.17,1.8,Out of Stock
Electronics,7659.66,2.14,0.94,Out of Stock
Clothing,2171.37,4.59,12.33,In Stock
Furniture,12748.96,3.99,13.72,Out of Stock
Furniture,6183.42,4.16,4.81,Out of Stock
Clothing,1880.85,2.15,6.97,Out of Stock
Food,590.28,3.89,7.69,In Stock
Electronics,5952.07,3.68,0.01,In Stock
Furniture,12670.69,1.28,2.87,Out of Stock
Electronics,6931.18,2.94,7.1,Out of Stock
Furniture,6848.55,4.37,9.62,In Stock
Food,67.57,,26.25,In Stock
Food,276.09,3.19,22.75,In Stock
Food,504.51,4.14,1.61,In Stock
Electronics,,3.49,4.16,Out of Stock
Electronics,7520.35,3.18,5.67,Out of Stock
Electronics,9742.13,,14.45,Out of Stock
Electronics,5389.97,1.42,9.86,Out of Stock
Furniture,4928.56,4.42,2.38,Out of Stock
Clothing,1718.67,3.09,33.77,In Stock
Electronics,5645.18,2.72,5.49,Out of Stock
Furniture,13653.02,1.14,13.71,Out of Stock
Furniture,12995.93,2.04,11.84,Out of Stock
Furniture,3374.56,4.38,7.9,In Stock
Furniture,6639.37,2.27,1.0,Out of Stock
Electronics,9946.75,1.16,13.1,Out of Stock
Clothing,1606.84,4.85,16.07,In Stock
Furniture,9385.04,2.69,10.54,Out of Stock
Food,101.01,3.39,6.44,In Stock
,8690.75,1.76,11.47,Out of Stock
Furniture,5582.93,4.02,14.13,Out of Stock
Electronics,7592.46,2.41,4.68,Out of Stock
Electronics,5248.91,2.07,,Out of Stock
Food,450.21,4.89,11.89,In Stock
Food,570.4,3.98,15.38,In Stock
Food,250.83,3.91,14.12,In Stock
Electronics,8533.21,4.76,6.59,In Stock
Furniture,3506.41,2.74,8.17,Out of Stock
,921.1,4.28,49.32,In Stock
Electronics,9728.87,1.79,17.51,Out of Stock
Furniture,11453.92,2.59,,Out of Stock
Furniture,13195.2,2.68,5.6,Out of Stock
Furniture,8918.97,,2.84,Out of Stock
Furniture,13810.89,3.36,9.5,Out of Stock
Food,124.62,4.21,3.63,In Stock
Food,109.02,4.05,12.08,In Stock
Electronics,7944.05,1.36,8.62,In Stock
Clothing,936.97,4.96,30.25,In Stock
Clothing,2218.59,2.98,9.26,In Stock
Clothing,2939.68,2.86,24.07,In Stock
Food,537.4,3.05,24.31,In Stock
Clothing,1841.45,2.83,7.77,In Stock
Electronics,5812.49,4.58,,In Stock
Electronics,6249.51,1.26,13.81,Out of Stock
Food,479.31,3.81,10.91,Out of Stock
Electronics,6084.07,3.68,19.41,Out of Stock
Furniture,5108.58,3.09,6.36,Out of Stock
Clothing,1616.72,2.76,,In Stock
Clothing,,3.63,18.71,In Stock
,186.36,3.17,,In Stock
Furniture,5354.81,3.42,5.86,Out of Stock
Clothing,1539.44,3.41,21.55,Out of Stock
Food,125.46,3.62,19.91,In Stock
Food,549.34,3.57,13.8,In Stock
Clothing,983.62,2.63,6.04,Out of Stock
Furniture,13760.96,1.74,3.41,Out of Stock
Furniture,6355.22,1.45,9.59,Out of Stock
Food,106.36,3.27,19.34,In Stock
Furniture,7075.93,3.48,8.36,Out of Stock
Furniture,6072.25,3.28,1.74,In Stock
Food,452.31,3.87,8.04,In Stock
Furniture,10248.06,4.05,14.98,Out of Stock
Food,505.82,3.81,6.76,Out of Stock
Food,242.82,3.96,11.02,In Stock
Food,,3.74,11.2,In Stock
Furniture,7602.41,3.93,9.76,Out of Stock
Electronics,8070.84,2.34,16.36,Out of Stock
Furniture,3460.37,4.05,7.69,In Stock
Furniture,7779.0,2.74,10.01,Out of Stock
Electronics,5063.83,4.49,8.93,In Stock
Furniture,7115.6,,6.59,Out of Stock
Electronics,7481.61,2.61,13.57,Out of Stock
Clothing,1552.24,4.88,31.97,In Stock
Food,655.61,3.22,11.92,In Stock
Electronics,6684.24,3.28,17.22,Out of Stock
Furniture,3940.06,1.25,12.75,Out of Stock
Furniture,5554.2,,8.14,Out of Stock
Food,674.67,3.25,3.89,Out of Stock
Electronics,,4.79,8.3,Out of Stock
Clothing,1317.36,3.82,46.87,In Stock
Food,677.7,4.99,0.68,In Stock
Furniture,4354.3,3.13,12.31,In Stock
Food,263.93,3.48,23.61,In Stock
Clothing,640.95,3.11,27.76,In Stock
,470.26,4.46,10.65,In Stock
Food,509.51,4.17,16.43,In Stock
Furniture,10685.8,1.91,1.27,Out of Stock
Electronics,5596.36,1.9,10.0,Out of Stock
Furniture,13085.31,3.45,11.84,Out of Stock
Food,313.23,3.81,11.81,In Stock
Furniture,5302.48,1.21,8.86,Out of Stock
Clothing,2973.04,2.5,7.1,In Stock
Food,634.65,3.51,24.89,In Stock
Furniture,11447.24,4.31,6.13,Out of Stock
Electronics,8309.85,2.86,12.61,Out of Stock
Furniture,8395.19,1.66,7.62,Out of Stock
Food,446.44,4.62,22.07,In Stock
,8318.96,1.45,14.41,Out of Stock
Clothing,1750.76,4.68,46.39,In Stock
Food,91.37,4.64,1.13,In Stock
Electronics,6835.85,3.17,2.96,In Stock
Food,609.74,3.02,5.06,In Stock
Clothing,1951.99,4.14,46.25,In Stock
Food,579.12,4.34,11.83,In Stock
Electronics,5006.42,1.48,10.69,In Stock
Furniture,11101.56,2.46,10.96,Out of Stock
Furniture,9262.35,1.26,2.88,Out of Stock
Furniture,13079.98,3.54,13.42,Out of Stock
Food,138.17,4.98,6.28,In Stock
Electronics,,4.99,5.62,Out of Stock
Furniture,11016.23,1.62,8.7,Out of Stock
Electronics,9520.17,2.28,13.41,Out of Stock
Electronics,5939.52,3.5,6.73,In Stock
Clothing,,2.94,13.05,In Stock
Clothing,2754.79,3.19,16.04,In Stock
Furniture,8380.89,2.12,11.17,Out of Stock
Food,778.41,,25.83,In Stock
Clothing,1914.66,2.47,36.08,In Stock
Clothing,1783.59,3.95,45.04,In Stock
Furniture,8285.21,4.15,11.26,Out of Stock
Clothing,1721.51,3.81,19.65,In Stock
Clothing,2958.99,4.0,6.97,In Stock
Electronics,6633.11,3.49,1.13,Out of Stock
Furniture,3286.61,2.58,4.99,In Stock
Food,378.72,3.53,4.94,In Stock
Electronics,8445.72,3.06,4.0,Out of Stock
Electronics,6597.95,3.37,1.44,In Stock
Food,,3.15,24.37,In Stock
Food,614.31,4.51,21.49,In Stock
Clothing,2173.46,3.43,33.9,In Stock
Furniture,3460.34,3.18,11.67,In Stock
Electronics,7501.79,2.43,5.55,Out of Stock
Clothing,2107.01,4.08,44.19,In Stock
Furniture,7108.01,3.69,8.42,Out of Stock
Clothing,2707.09,3.58,28.29,Out of Stock
Food,483.41,4.5,28.94,In Stock
Clothing,683.91,2.16,47.19,In Stock
Clothing,1824.69,3.84,26.71,In Stock
Furniture,4123.89,3.69,,Out of Stock
,1279.26,2.92,42.7,In Stock
Furniture,3868.29,4.08,3.85,Out of Stock
Electronics,7964.92,4.74,13.56,In Stock
Electronics,7072.15,3.76,6.88,Out of Stock
Electronics,6386.29,4.99,15.02,Out of Stock
Food,533.54,3.71,1.47,In Stock
Clothing,577.64,3.66,39.29,In Stock
Furniture,9448.55,3.94,0.5,Out of Stock
Clothing,1416.88,2.71,25.13,In Stock
Furniture,3868.52,4.34,3.35,Out of Stock
Electronics,9611.54,2.7,19.71,Out of Stock
Furniture,9648.7,4.26,0.08,In Stock
Furniture,11978.87,4.16,2.1,Out of Stock
Furniture,4153.51,2.49,14.01,Out of Stock
